name	electrode_name	type	units	sampling_frequency
0.0	e000	n/a	V	-1.0
1.0	e001	n/a	V	-1.0
2.0	e002	n/a	V	-1.0
3.0	e003	n/a	V	-1.0
4.0	e004	n/a	V	-1.0
5.0	e005	n/a	V	-1.0
6.0	e006	n/a	V	-1.0
7.0	e007	n/a	V	-1.0
8.0	e008	n/a	V	-1.0
9.0	e009	n/a	V	-1.0
10.0	e010	n/a	V	-1.0
11.0	e011	n/a	V	-1.0
12.0	e012	n/a	V	-1.0
13.0	e013	n/a	V	-1.0
14.0	e014	n/a	V	-1.0
15.0	e015	n/a	V	-1.0
16.0	e016	n/a	V	-1.0
17.0	e017	n/a	V	-1.0
18.0	e018	n/a	V	-1.0
19.0	e019	n/a	V	-1.0
20.0	e020	n/a	V	-1.0
21.0	e021	n/a	V	-1.0
22.0	e022	n/a	V	-1.0
23.0	e023	n/a	V	-1.0
24.0	e024	n/a	V	-1.0
25.0	e025	n/a	V	-1.0
26.0	e026	n/a	V	-1.0
27.0	e027	n/a	V	-1.0
28.0	e028	n/a	V	-1.0
29.0	e029	n/a	V	-1.0
30.0	e030	n/a	V	-1.0
31.0	e031	n/a	V	-1.0
32.0	e032	n/a	V	-1.0
33.0	e033	n/a	V	-1.0
34.0	e034	n/a	V	-1.0
35.0	e035	n/a	V	-1.0
36.0	e036	n/a	V	-1.0
37.0	e037	n/a	V	-1.0
38.0	e038	n/a	V	-1.0
39.0	e039	n/a	V	-1.0
40.0	e040	n/a	V	-1.0
41.0	e041	n/a	V	-1.0
42.0	e042	n/a	V	-1.0
43.0	e043	n/a	V	-1.0
44.0	e044	n/a	V	-1.0
45.0	e045	n/a	V	-1.0
46.0	e046	n/a	V	-1.0
47.0	e047	n/a	V	-1.0
48.0	e048	n/a	V	-1.0
49.0	e049	n/a	V	-1.0
50.0	e050	n/a	V	-1.0
51.0	e051	n/a	V	-1.0
52.0	e052	n/a	V	-1.0
53.0	e053	n/a	V	-1.0
54.0	e054	n/a	V	-1.0
55.0	e055	n/a	V	-1.0
56.0	e056	n/a	V	-1.0
57.0	e057	n/a	V	-1.0
58.0	e058	n/a	V	-1.0
59.0	e059	n/a	V	-1.0
60.0	e060	n/a	V	-1.0
61.0	e061	n/a	V	-1.0
62.0	e062	n/a	V	-1.0
63.0	e063	n/a	V	-1.0
64.0	e064	n/a	V	-1.0
65.0	e065	n/a	V	-1.0
66.0	e066	n/a	V	-1.0
67.0	e067	n/a	V	-1.0
68.0	e068	n/a	V	-1.0
69.0	e069	n/a	V	-1.0
70.0	e070	n/a	V	-1.0
71.0	e071	n/a	V	-1.0
72.0	e072	n/a	V	-1.0
73.0	e073	n/a	V	-1.0
74.0	e074	n/a	V	-1.0
75.0	e075	n/a	V	-1.0
76.0	e076	n/a	V	-1.0
77.0	e077	n/a	V	-1.0
78.0	e078	n/a	V	-1.0
79.0	e079	n/a	V	-1.0
80.0	e080	n/a	V	-1.0
81.0	e081	n/a	V	-1.0
82.0	e082	n/a	V	-1.0
83.0	e083	n/a	V	-1.0
84.0	e084	n/a	V	-1.0
85.0	e085	n/a	V	-1.0
86.0	e086	n/a	V	-1.0
87.0	e087	n/a	V	-1.0
88.0	e088	n/a	V	-1.0
89.0	e089	n/a	V	-1.0
90.0	e090	n/a	V	-1.0
91.0	e091	n/a	V	-1.0
92.0	e092	n/a	V	-1.0
93.0	e093	n/a	V	-1.0
94.0	e094	n/a	V	-1.0
95.0	e095	n/a	V	-1.0
96.0	e096	n/a	V	-1.0
97.0	e097	n/a	V	-1.0
98.0	e098	n/a	V	-1.0
99.0	e099	n/a	V	-1.0
100.0	e100	n/a	V	-1.0
101.0	e101	n/a	V	-1.0
102.0	e102	n/a	V	-1.0
103.0	e103	n/a	V	-1.0
104.0	e104	n/a	V	-1.0
105.0	e105	n/a	V	-1.0
106.0	e106	n/a	V	-1.0
107.0	e107	n/a	V	-1.0
108.0	e108	n/a	V	-1.0
109.0	e109	n/a	V	-1.0
110.0	e110	n/a	V	-1.0
111.0	e111	n/a	V	-1.0
112.0	e112	n/a	V	-1.0
113.0	e113	n/a	V	-1.0
114.0	e114	n/a	V	-1.0
115.0	e115	n/a	V	-1.0
116.0	e116	n/a	V	-1.0
117.0	e117	n/a	V	-1.0
118.0	e118	n/a	V	-1.0
119.0	e119	n/a	V	-1.0
120.0	e120	n/a	V	-1.0
121.0	e121	n/a	V	-1.0
122.0	e122	n/a	V	-1.0
123.0	e123	n/a	V	-1.0
124.0	e124	n/a	V	-1.0
125.0	e125	n/a	V	-1.0
126.0	e126	n/a	V	-1.0
127.0	e127	n/a	V	-1.0
128.0	e128	n/a	V	-1.0
129.0	e129	n/a	V	-1.0
