onset	duration	nwb_table	context	auditory_stim_frequency	auditory_stim_amplitude	auditory_stim_time	auditory_stim_duration	whisker_stim	whisker_stim_amplitude	whisker_stim_time	whisker_stim_duration	opto_stim	opto_stim_frequency	opto_stim_amplitude	opto_stim_start_time	opto_stim_stop_time	lick_flag	lick_time	early_lick	trial_type
18.883672	2.0	trials	go_tone	4000.0	80.0	18.883672	0.1	False				False	0.0	0.0	0.0	0.0	False		False	2.0
29.893291	2.0	trials	no_tone					True	7.0	30.895388	0.01	False	0.0	0.0	0.0	0.0	False		False	5.0
41.42346	2.0	trials	go_tone	4000.0	80.0	41.42346	0.1	False				False	0.0	0.0	0.0	0.0	False		False	2.0
52.393196	2.0	trials	nogo_tone	8000.0	80.0	52.393196	0.1	False				False	0.0	0.0	0.0	0.0	False		False	4.0
63.473314	2.0	trials	no_tone					True	7.0	64.475396	0.01	False	0.0	0.0	0.0	0.0	False		False	5.0
74.856533	2.0	trials	nogo_tone	8000.0	80.0	74.856533	0.1	True	7.0	75.858663	0.01	False	0.0	0.0	0.0	0.0	True	76.399533	False	3.0
85.953387	2.0	trials	go_tone	4000.0	80.0	85.953387	0.1	True	7.0	86.95545	0.01	False	0.0	0.0	0.0	0.0	True	87.79938700000001	False	1.0
96.893323	2.0	trials	nogo_tone	8000.0	80.0	96.893323	0.1	False				False	0.0	0.0	0.0	0.0	True	98.45232299999999	False	4.0
107.883893	2.0	trials	go_tone	4000.0	80.0	107.883893	0.1	True	7.0	108.885989	0.01	False	0.0	0.0	0.0	0.0	False		False	1.0
118.803444	2.0	trials	go_tone	4000.0	80.0	118.803444	0.1	False				False	0.0	0.0	0.0	0.0	False		False	2.0
129.40346499999998	2.0	trials	go_tone	4000.0	80.0	129.40346499999998	0.1	False				False	0.0	0.0	0.0	0.0	False		False	2.0
140.039501	2.0	trials	no_tone					True	7.0	141.041549	0.01	False	0.0	0.0	0.0	0.0	False		False	5.0
150.701353	2.0	trials	nogo_tone	8000.0	80.0	150.701353	0.1	False				False	0.0	0.0	0.0	0.0	False		False	4.0
162.083557	2.0	trials	no_tone					True	7.0	163.085654	0.01	False	0.0	0.0	0.0	0.0	False		False	5.0
172.873909	2.0	trials	nogo_tone	8000.0	80.0	172.873909	0.1	True	7.0	173.876024	0.01	False	0.0	0.0	0.0	0.0	False		False	3.0
184.053512	2.0	trials	go_tone	4000.0	80.0	184.053512	0.1	True	7.0	185.05561	0.01	False	0.0	0.0	0.0	0.0	True	185.231512	False	1.0
195.443582	2.0	trials	nogo_tone	8000.0	80.0	195.443582	0.1	True	7.0	196.445662	0.01	False	0.0	0.0	0.0	0.0	True	196.60858199999998	False	3.0
206.6453	2.0	trials	nogo_tone	8000.0	80.0	206.6453	0.1	False				False	0.0	0.0	0.0	0.0	False		False	4.0
330.724227	2.0	trials	go_tone	4000.0	80.0	330.724227	0.1	True	7.0	331.726341	0.01	False	0.0	0.0	0.0	0.0	False		False	1.0
342.033831	2.0	trials	nogo_tone	8000.0	80.0	342.033831	0.1	False				False	0.0	0.0	0.0	0.0	False		False	4.0
353.383848	2.0	trials	no_tone					True	7.0	354.38593	0.01	False	0.0	0.0	0.0	0.0	False		False	5.0
364.374235	2.0	trials	nogo_tone	8000.0	80.0	364.374235	0.1	False				False	0.0	0.0	0.0	0.0	False		False	4.0
375.693904	2.0	trials	no_tone					True	7.0	376.695984	0.01	False	0.0	0.0	0.0	0.0	False		False	5.0
386.773923	2.0	trials	go_tone	4000.0	80.0	386.773923	0.1	False				False	0.0	0.0	0.0	0.0	False		False	2.0
397.443859	2.0	trials	nogo_tone	8000.0	80.0	397.443859	0.1	True	7.0	398.445941	0.01	False	0.0	0.0	0.0	0.0	False		False	3.0
408.40393	2.0	trials	go_tone	4000.0	80.0	408.40393	0.1	True	7.0	409.40601	0.01	False	0.0	0.0	0.0	0.0	False		False	1.0
419.374065	2.0	trials	go_tone	4000.0	80.0	419.374065	0.1	True	7.0	420.376161	0.01	False	0.0	0.0	0.0	0.0	True	420.465065	False	1.0
430.713934	2.0	trials	nogo_tone	8000.0	80.0	430.713934	0.1	True	7.0	431.716016	0.01	False	0.0	0.0	0.0	0.0	True	431.84493399999997	False	3.0
441.733954	2.0	trials	go_tone	4000.0	80.0	441.733954	0.1	False				False	0.0	0.0	0.0	0.0	False		False	2.0
452.59414	2.0	trials	nogo_tone	8000.0	80.0	452.59414	0.1	True	7.0	453.59622	0.01	False	0.0	0.0	0.0	0.0	True	453.75314	False	3.0
463.554059	2.0	trials	go_tone	4000.0	80.0	463.554059	0.1	True	7.0	464.556191	0.01	False	0.0	0.0	0.0	0.0	False		False	1.0
474.114047	2.0	trials	nogo_tone	8000.0	80.0	474.114047	0.1	False				False	0.0	0.0	0.0	0.0	False		False	4.0
484.776099	2.0	trials	go_tone	4000.0	80.0	484.776099	0.1	False				False	0.0	0.0	0.0	0.0	False		False	2.0
496.124253	2.0	trials	go_tone	4000.0	80.0	496.124253	0.1	True	7.0	497.126348	0.01	False	0.0	0.0	0.0	0.0	True	497.247253	False	1.0
507.104171	2.0	trials	go_tone	4000.0	80.0	507.104171	0.1	False				False	0.0	0.0	0.0	0.0	False		False	2.0
517.744224	2.0	trials	nogo_tone	8000.0	80.0	517.744224	0.1	True	7.0	518.746305	0.01	False	0.0	0.0	0.0	0.0	True	518.9352240000001	False	3.0
528.944178	2.0	trials	nogo_tone	8000.0	80.0	528.944178	0.1	False				False	0.0	0.0	0.0	0.0	False		False	4.0
540.234346	2.0	trials	go_tone	4000.0	80.0	540.234346	0.1	False				False	0.0	0.0	0.0	0.0	False		False	2.0
551.624281	2.0	trials	go_tone	4000.0	80.0	551.624281	0.1	True	7.0	552.626362	0.01	False	0.0	0.0	0.0	0.0	True	552.801281	False	1.0
562.364452	2.0	trials	go_tone	4000.0	80.0	562.364452	0.1	False				False	0.0	0.0	0.0	0.0	False		False	2.0
605.65438	2.0	trials	no_tone					True	7.0	606.65646	0.01	False	0.0	0.0	0.0	0.0	True	607.29838	False	5.0
616.526467	2.0	trials	nogo_tone	8000.0	80.0	616.526467	0.1	False				False	0.0	0.0	0.0	0.0	False		False	4.0
