name	probe_name	x	y	z	hemisphere	impedance	shank_id	location
e000	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e001	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e002	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e003	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e004	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e005	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e006	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e007	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e008	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e009	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e010	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e011	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e012	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e013	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e014	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e015	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e016	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e017	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e018	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e019	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e020	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e021	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e022	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e023	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e024	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e025	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e026	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e027	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e028	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e029	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e030	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e031	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e032	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e033	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e034	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e035	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e036	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e037	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e038	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e039	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e040	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e041	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e042	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e043	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e044	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e045	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e046	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e047	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e048	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e049	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e050	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e051	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e052	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e053	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e054	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e055	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e056	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e057	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e058	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e059	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e060	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e061	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e062	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e063	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e064	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e065	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e066	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e067	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e068	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e069	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e070	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e071	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e072	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e073	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e074	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e075	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e076	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e077	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e078	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e079	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e080	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e081	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e082	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e083	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e084	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e085	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e086	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e087	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e088	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e089	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e090	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e091	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e092	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e093	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e094	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e095	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e096	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e097	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e098	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e099	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e100	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e101	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e102	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e103	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e104	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e105	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e106	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e107	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e108	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e109	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e110	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e111	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e112	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e113	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e114	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e115	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e116	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e117	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e118	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e119	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e120	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e121	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
e122	imec0	n/a	n/a	n/a	n/a	n/a	imec0	ALM
