onset	duration	nwb_table	context	auditory_stim_frequency	auditory_stim_amplitude	auditory_stim_time	auditory_stim_duration	whisker_stim	whisker_stim_amplitude	whisker_stim_time	whisker_stim_duration	opto_stim	opto_stim_frequency	opto_stim_amplitude	opto_stim_start_time	opto_stim_stop_time	opto_window	opto_duration	opto_area	lick_flag	lick_time	early_lick	trial_type
11.509	2.0	trials	no_tone					True	5.0	12.509	0.01	False					nolight	0.0	nan	True	14.358	False	5.0
22.289	2.0	trials	no_tone					True	5.0	23.289	0.01	True	100.0	12.0	23.239	23.589000000000002	whisker	350.0	ALM	False		False	5.0
33.647	2.0	trials	nogo_tone	4000.0	80.0	33.647	0.1	True	5.0	34.647	0.01	True	100.0	12.0	33.597	34.047	audio	450.0	ALM	False		False	3.0
44.428	2.0	trials	nogo_tone	4000.0	80.0	44.428	0.1	False				True	100.0	12.0	44.827999999999996	45.378	delay	550.0	ALM	False		False	4.0
55.058	2.0	trials	nogo_tone	4000.0	80.0	55.058	0.1	False				False					nolight	0.0	nan	False		False	4.0
66.198	2.0	trials	go_tone	8000.0	80.0	66.198	0.1	True	5.0	67.198	0.01	True	100.0	12.0	66.148	66.598	audio	450.0	ALM	True	69.122	False	1.0
76.958	2.0	trials	nogo_tone	4000.0	80.0	76.958	0.1	True	5.0	77.958	0.01	False					nolight	0.0	nan	False		False	3.0
88.37	2.0	trials	no_tone					True	5.0	89.37	0.01	False					nolight	0.0	nan	False		False	5.0
99.39	2.0	trials	nogo_tone	4000.0	80.0	99.39	0.1	False				False					nolight	0.0	nan	False		False	4.0
110.87	2.0	trials	no_tone					True	5.0	111.87	0.01	True	100.0	12.0	110.82000000000001	111.27000000000001	audio	450.0	ALM	True	113.62100000000001	False	5.0
122.299	2.0	trials	nogo_tone	4000.0	80.0	122.299	0.1	True	5.0	123.299	0.01	False					nolight	0.0	nan	False		False	3.0
133.019	2.0	trials	nogo_tone	4000.0	80.0	133.019	0.1	False				False					nolight	0.0	nan	False		False	4.0
143.941	2.0	trials	nogo_tone	4000.0	80.0	143.941	0.1	True	5.0	144.941	0.01	False					nolight	0.0	nan	False		False	3.0
