onset	duration	nwb_table	context	auditory_stim_frequency	auditory_stim_amplitude	auditory_stim_time	auditory_stim_duration	whisker_stim	whisker_stim_amplitude	whisker_stim_time	whisker_stim_duration	opto_stim	opto_stim_frequency	opto_stim_amplitude	opto_stim_start_time	opto_stim_stop_time	opto_window	opto_duration	opto_area	lick_flag	lick_time	early_lick	trial_type
40.545	2.0	trials	no_tone					True	5.0	41.545	0.01	False					nolight	0.0	nan	False		False	5.0
51.484	2.0	trials	go_tone	8000.0	80.0	51.484	0.1	False				True	100.0	12.0	52.434000000000005	52.784	whisker	350.0	wS2	False		False	2.0
62.494	2.0	trials	go_tone	8000.0	80.0	62.494	0.1	False				False					nolight	0.0	nan	True	65.592	False	2.0
73.464	2.0	trials	nogo_tone	4000.0	80.0	73.464	0.1	False				True	100.0	12.0	73.864	74.414	delay	550.0	wS2	False		False	4.0
84.425	2.0	trials	go_tone	8000.0	80.0	84.425	0.1	True	5.0	85.425	0.01	False					nolight	0.0	nan	True	87.26899999999999	False	1.0
95.363	2.0	trials	nogo_tone	4000.0	80.0	95.363	0.1	True	5.0	96.363	0.01	False					nolight	0.0	nan	False		False	3.0
108.517	2.0	trials	go_tone	8000.0	80.0	108.517	0.1	True	5.0	109.517	0.01	False					nolight	0.0	nan	True	111.179	False	1.0
119.968	2.0	trials	go_tone	8000.0	80.0	119.968	0.1	True	5.0	120.968	0.01	False					nolight	0.0	nan	True	122.744	False	1.0
131.124	2.0	trials	nogo_tone	4000.0	80.0	131.124	0.1	True	5.0	132.124	0.01	False					nolight	0.0	nan	False		False	3.0
142.454	2.0	trials	go_tone	8000.0	80.0	142.454	0.1	False				False					nolight	0.0	nan	False		False	2.0
153.444	2.0	trials	nogo_tone	4000.0	80.0	153.444	0.1	False				False					nolight	0.0	nan	False		False	4.0
164.195	2.0	trials	nogo_tone	4000.0	80.0	164.195	0.1	True	5.0	165.195	0.01	False					nolight	0.0	nan	False		False	3.0
175.266	2.0	trials	go_tone	8000.0	80.0	175.266	0.1	False				True	100.0	12.0	175.666	176.21599999999998	delay	550.0	wS2	False		False	2.0
186.685	2.0	trials	no_tone					True	5.0	187.685	0.01	False					nolight	0.0	nan	False		False	5.0
198.075	2.0	trials	go_tone	8000.0	80.0	198.075	0.1	True	5.0	199.075	0.01	False					nolight	0.0	nan	True	200.843	False	1.0
209.605	2.0	trials	nogo_tone	4000.0	80.0	209.605	0.1	True	5.0	210.605	0.01	True	100.0	12.0	210.55499999999998	210.905	whisker	350.0	wS2	False		False	3.0
220.815	2.0	trials	nogo_tone	4000.0	80.0	220.815	0.1	False				True	100.0	12.0	220.765	221.215	audio	450.0	wS2	False		False	4.0
231.929	2.0	trials	nogo_tone	4000.0	80.0	231.929	0.1	True	5.0	232.929	0.01	False					nolight	0.0	nan	False		False	3.0
242.876	2.0	trials	no_tone					True	5.0	243.876	0.01	False					nolight	0.0	nan	False		False	5.0
253.507	2.0	trials	go_tone	8000.0	80.0	253.507	0.1	True	5.0	254.507	0.01	True	100.0	12.0	254.457	254.80700000000002	whisker	350.0	wS2	True	256.261	False	1.0
264.546	2.0	trials	go_tone	8000.0	80.0	264.546	0.1	True	5.0	265.546	0.01	False					nolight	0.0	nan	True	266.718	True	1.0
276.726	2.0	trials	go_tone	8000.0	80.0	276.726	0.1	True	5.0	277.726	0.01	False					nolight	0.0	nan	True	279.158	True	1.0
289.868	2.0	trials	go_tone	8000.0	80.0	289.868	0.1	True	5.0	290.868	0.01	False					nolight	0.0	nan	True	292.546	False	1.0
300.906	2.0	trials	nogo_tone	4000.0	80.0	300.906	0.1	False				False					nolight	0.0	nan	False		False	4.0
312.289	2.0	trials	no_tone					True	5.0	313.289	0.01	False					nolight	0.0	nan	False		False	5.0
323.427	2.0	trials	go_tone	8000.0	80.0	323.427	0.1	False				False					nolight	0.0	nan	True	325.797	True	2.0
335.798	2.0	trials	go_tone	8000.0	80.0	335.798	0.1	False				False					nolight	0.0	nan	False		False	2.0
347.227	2.0	trials	no_tone					True	5.0	348.227	0.01	True	100.0	12.0	348.17699999999996	348.527	whisker	350.0	wS2	False		False	5.0
357.878	2.0	trials	go_tone	8000.0	80.0	357.878	0.1	False				False					nolight	0.0	nan	False		False	2.0
368.809	2.0	trials	nogo_tone	4000.0	80.0	368.809	0.1	False				False					nolight	0.0	nan	False		False	4.0
380.25	2.0	trials	go_tone	8000.0	80.0	380.25	0.1	False				True	100.0	12.0	380.2	380.65	audio	450.0	wS2	False		False	2.0
391.014	2.0	trials	nogo_tone	4000.0	80.0	391.014	0.1	False				False					nolight	0.0	nan	False		False	4.0
401.686	2.0	trials	go_tone	8000.0	80.0	401.686	0.1	True	5.0	402.686	0.01	True	100.0	12.0	402.08599999999996	402.63599999999997	delay	550.0	wS2	True	404.496	False	1.0
413.1	2.0	trials	nogo_tone	4000.0	80.0	413.1	0.1	False				False					nolight	0.0	nan	False		False	4.0
424.217	2.0	trials	no_tone					True	5.0	425.217	0.01	False					nolight	0.0	nan	False		False	5.0
435.62	2.0	trials	nogo_tone	4000.0	80.0	435.62	0.1	True	5.0	436.62	0.01	True	100.0	12.0	435.57	436.02	audio	450.0	wS2	True	438.398	False	3.0
447.141	2.0	trials	nogo_tone	4000.0	80.0	447.141	0.1	True	5.0	448.141	0.01	False					nolight	0.0	nan	False		False	3.0
457.81	2.0	trials	go_tone	8000.0	80.0	457.81	0.1	False				False					nolight	0.0	nan	True	460.333	True	2.0
470.339	2.0	trials	go_tone	8000.0	80.0	470.339	0.1	False				False					nolight	0.0	nan	True	473.114	False	2.0
481.01	2.0	trials	go_tone	8000.0	80.0	481.01	0.1	True	5.0	482.01	0.01	True	100.0	12.0	480.96	481.40999999999997	audio	450.0	wS2	True	483.977	False	1.0
491.61	2.0	trials	nogo_tone	4000.0	80.0	491.61	0.1	True	5.0	492.61	0.01	True	100.0	12.0	492.01	492.56	delay	550.0	wS2	True	494.379	False	3.0
502.701	2.0	trials	go_tone	8000.0	80.0	502.701	0.1	True	5.0	503.701	0.01	False					nolight	0.0	nan	True	505.31600000000003	False	1.0
